gdp,c,investment,fixed_i,nonresidential,structures,equipment,intellectual,residential
12.552,11.583,8.319,8.923,6.065,28.558,4.427,1.374,27.629
12.519,11.776,7.681,8.692,5.971,28.407,4.332,1.357,26.248
12.493,11.814,7.455,8.973,5.861,28.600,4.186,1.356,30.261
12.688,11.818,8.898,9.711,6.024,28.189,4.429,1.328,36.094
12.879,11.877,9.811,10.022,6.374,28.774,4.804,1.340,35.623
13.092,12.015,10.418,10.007,6.161,29.575,4.484,1.319,37.686
13.167,12.033,10.525,9.905,6.176,30.459,4.427,1.320,36.489
13.181,12.129,10.022,9.792,6.320,30.895,4.569,1.310,33.815
13.000,12.149,8.525,9.250,6.030,30.314,4.278,1.281,31.322
12.955,12.335,7.392,8.970,5.806,29.604,4.068,1.277,30.798
13.089,12.363,8.005,8.954,5.540,28.295,3.852,1.287,33.431
12.979,12.544,7.611,9.279,5.472,27.518,3.810,1.343,37.506
13.489,12.753,9.418,9.850,5.630,28.830,3.876,1.389,41.692
13.901,12.963,10.426,10.722,6.100,30.284,4.313,1.411,45.688
14.438,13.629,11.322,11.485,6.605,32.037,4.775,1.417,48.183
14.714,13.218,12.760,11.255,6.595,32.858,4.702,1.403,45.938
14.914,13.537,11.457,10.847,6.423,32.965,4.502,1.364,43.560
15.173,13.155,11.722,10.364,6.500,34.084,4.510,1.351,37.741
15.485,13.308,10.859,10.212,6.576,33.877,4.608,1.376,35.359
15.519,13.386,9.994,10.133,6.468,32.575,4.563,1.433,35.699
15.685,13.417,10.255,10.289,6.531,32.614,4.588,1.555,36.634
15.719,13.679,9.481,10.462,6.635,32.849,4.651,1.663,37.314
15.833,13.745,9.990,9.893,6.118,33.123,3.962,1.773,36.952
16.353,14.230,10.709,10.646,6.660,34.392,4.460,1.905,38.948
16.657,14.397,10.940,11.079,7.021,35.427,4.777,1.989,39.576
16.785,14.484,11.002,11.164,7.091,36.107,4.770,2.080,39.707
16.691,14.449,10.772,11.184,7.249,36.308,4.930,2.120,38.221
16.438,14.352,9.994,11.087,7.183,36.949,4.788,2.144,37.910
16.360,14.405,9.922,10.931,6.994,37.325,4.520,2.165,38.325
16.377,14.592,9.898,11.106,6.931,37.584,4.420,2.178,40.824
16.562,14.790,10.376,11.528,7.108,37.502,4.630,2.198,43.310
16.886,15.100,10.831,11.780,7.099,37.343,4.619,2.232,46.020
17.369,15.439,11.913,12.232,7.220,38.500,4.661,2.254,49.404
17.651,15.735,12.638,12.745,7.650,39.455,5.074,2.325,50.114
17.890,15.929,12.832,13.034,8.030,40.764,5.391,2.408,49.047
17.997,16.129,13.129,13.087,8.270,41.772,5.549,2.531,46.989
17.927,16.155,12.754,12.868,8.168,43.069,5.273,2.649,45.788
18.075,16.209,12.654,13.000,8.315,44.603,5.285,2.751,45.551
18.059,16.246,12.541,13.007,8.398,44.886,5.338,2.815,44.690
18.356,16.470,12.424,12.946,8.399,44.779,5.325,2.878,44.024
18.474,16.584,12.232,12.938,8.443,44.393,5.420,2.849,43.420
18.433,16.613,12.219,12.826,8.426,44.362,5.400,2.854,42.392
18.614,16.744,12.499,12.957,8.597,44.369,5.591,2.889,41.833
18.421,16.751,11.538,12.741,8.398,44.117,5.369,2.903,41.779
17.943,16.520,10.760,12.023,7.865,43.290,4.799,2.911,40.136
18.061,16.656,10.543,11.727,7.574,41.855,4.553,2.953,40.280
18.479,16.933,11.352,11.903,7.495,40.899,4.506,3.028,43.183
18.911,17.163,12.320,12.608,7.776,41.531,4.750,3.134,47.678
19.275,17.477,12.991,13.351,8.019,41.385,5.011,3.229,53.060
19.710,17.747,14.002,13.764,8.249,42.666,5.162,3.286,54.912
19.724,17.932,13.098,13.910,8.471,43.935,5.330,3.270,53.885
19.780,17.953,13.524,13.748,8.448,43.601,5.319,3.295,52.359
20.224,18.124,14.884,14.207,8.741,45.420,5.504,3.347,53.967
20.115,18.353,13.496,13.949,8.869,45.959,5.596,3.390,49.548
20.214,18.280,13.462,13.649,8.714,46.046,5.354,3.531,48.068
19.954,18.303,11.971,13.623,8.693,47.799,5.166,3.610,48.018
20.089,18.297,12.281,13.507,8.570,47.582,4.998,3.715,48.213
20.430,18.569,13.142,13.729,8.760,46.789,5.237,3.834,48.405
20.822,18.659,14.164,14.058,8.846,46.816,5.308,3.906,51.045
21.231,19.034,14.398,14.502,9.115,46.570,5.627,3.950,52.783
21.609,19.236,15.174,14.780,9.298,47.444,5.773,3.956,53.702
21.805,19.473,15.055,15.199,9.550,49.173,5.919,3.999,55.366
22.072,19.629,15.310,15.322,9.668,50.469,5.940,4.045,55.322
22.145,19.907,14.862,15.275,9.632,49.247,5.958,4.136,55.235
22.387,20.047,15.644,15.475,9.655,47.534,6.068,4.271,57.185
22.638,20.236,15.893,16.164,9.955,49.787,6.190,4.418,61.285
23.136,20.510,16.383,16.562,10.228,50.132,6.456,4.497,62.457
23.287,20.681,16.582,17.058,10.527,51.156,6.709,4.551,64.418
23.778,21.087,17.202,17.648,10.747,52.481,6.874,4.533,68.376
24.037,21.460,17.140,17.615,10.999,54.258,7.015,4.578,64.974
24.413,21.857,17.540,17.902,11.353,56.038,7.264,4.662,63.934
24.488,21.919,17.707,18.058,11.595,56.483,7.479,4.762,62.799
25.081,22.408,19.395,18.874,12.333,59.380,8.049,4.971,63.108
25.397,22.655,19.446,19.409,12.787,63.519,8.193,5.134,63.659
25.962,23.044,20.123,19.933,13.252,64.187,8.631,5.304,63.960
26.560,23.692,20.256,20.395,13.790,67.141,8.967,5.486,62.707
27.207,24.042,21.875,21.155,14.368,68.734,9.460,5.674,64.279
27.300,24.103,21.551,20.948,14.604,67.409,9.793,5.841,59.279
27.531,24.379,21.392,20.971,14.797,68.910,9.837,6.000,57.310
27.757,24.480,21.517,20.415,14.797,66.567,9.978,6.150,51.298
28.003,24.621,20.989,20.029,14.557,67.259,9.582,6.259,49.886
28.020,24.958,20.230,20.524,14.522,65.347,9.685,6.303,55.637
28.285,25.086,20.823,20.770,14.497,66.038,9.553,6.411,58.596
28.498,25.239,21.272,21.394,14.789,66.144,9.857,6.523,61.990
29.079,25.844,21.699,21.872,15.224,67.434,10.232,6.644,62.173
29.565,26.238,22.529,21.818,15.038,66.859,9.985,6.813,63.690
29.794,26.729,21.914,22.157,15.244,66.424,10.232,6.929,64.978
29.912,26.850,22.153,22.680,15.660,67.781,10.587,7.027,65.878
30.380,27.148,23.457,23.311,16.060,68.828,10.973,7.076,68.090
30.472,27.323,23.319,23.434,16.235,69.376,11.087,7.214,67.452
30.673,27.456,23.792,23.770,16.605,72.646,11.231,7.266,66.917
30.524,27.675,22.644,23.241,16.518,72.138,11.137,7.344,62.317
30.478,27.847,21.968,23.124,16.401,71.570,11.058,7.308,62.353
30.522,27.973,22.016,22.649,16.294,70.838,11.011,7.258,58.537
30.803,28.218,22.374,23.032,16.351,71.097,11.078,7.209,61.913
30.473,28.142,21.186,23.027,15.790,70.264,10.494,7.091,68.152
31.301,28.682,23.656,23.500,15.920,70.089,10.671,7.098,71.690
31.470,28.946,24.328,24.382,16.137,69.909,10.931,7.178,78.568
31.729,29.176,24.623,24.803,16.208,69.658,11.007,7.272,82.180
31.804,29.661,23.960,25.454,16.540,69.475,11.386,7.432,85.345
32.389,30.052,25.539,26.538,17.067,71.290,11.818,7.597,90.914
33.124,30.624,26.989,26.994,17.345,71.688,12.087,7.725,92.637
33.436,31.096,27.372,27.300,17.599,71.846,12.376,7.789,93.046
33.996,31.826,27.544,28.496,18.442,72.990,13.323,7.891,96.334
34.838,32.407,29.158,29.614,19.216,75.375,14.058,7.982,99.551
35.217,32.392,30.401,29.840,19.930,77.730,14.707,8.098,94.392
35.032,32.506,29.299,29.752,20.237,79.488,14.888,8.188,90.344
35.364,32.409,30.342,29.496,20.389,78.759,15.128,8.293,86.248
35.060,32.119,28.610,28.908,20.368,78.317,15.140,8.310,80.640
35.144,32.235,28.496,28.546,20.333,77.998,15.112,8.344,77.385
34.811,32.373,27.019,28.077,20.126,74.618,15.185,8.426,74.793
34.676,31.900,27.183,26.568,19.597,73.718,14.567,8.424,65.055
34.254,32.168,22.804,25.061,18.479,69.931,13.508,8.373,61.384
34.499,32.697,22.125,24.775,18.035,67.303,13.228,8.325,63.114
35.089,33.162,23.840,25.381,18.227,67.687,13.392,8.446,67.273
35.562,33.518,24.506,25.888,18.445,67.736,13.591,8.659,70.155
36.362,34.188,26.870,26.945,18.840,69.566,13.768,9.023,76.807
36.628,34.503,27.934,27.389,19.090,69.357,14.027,9.264,78.701
36.829,34.866,28.031,27.698,19.507,70.061,14.410,9.501,77.472
37.096,35.319,28.241,29.013,19.884,70.280,14.816,9.681,86.848
37.535,35.735,29.549,30.014,20.609,70.039,15.768,9.789,89.432
38.264,35.929,31.668,31.577,21.178,72.658,16.171,9.951,99.245
38.955,36.268,33.270,31.980,21.601,73.757,16.573,10.053,98.949
38.956,36.814,32.436,32.530,22.258,74.289,17.359,10.146,97.777
39.080,37.020,33.068,32.823,22.453,74.146,17.607,10.227,98.689
40.590,37.812,35.216,35.066,24.193,81.397,18.988,10.536,103.411
40.998,37.971,36.242,36.016,25.014,86.766,19.356,10.820,104.604
41.549,38.277,37.080,36.804,25.822,90.395,19.874,11.192,104.406
